ID,0.25,0.5,1.0,2.0,4.0,6.0
A51196,True,True,True,True,True,True
A51233,True,True,True,True,True,True
A51236,True,True,True,True,True,True
A51240,True,True,True,True,True,True
A51322,True,True,True,True,True,True
A51344,True,True,True,True,True,True
A51368,True,True,True,True,True,True
A51372,True,True,True,True,True,True
A51378,True,True,True,True,True,True
A56009,True,True,True,True,True,True
A56059,True,True,True,True,True,True
A56081,True,True,True,True,True,True
A56131,True,True,True,True,True,True
A56136,True,True,True,True,True,True
A57708,True,True,True,True,True,True
A57711,True,True,True,True,True,True
A57980,True,True,True,True,True,True
A60034,True,True,True,True,True,True
A60077,True,True,True,True,True,True
A60096,True,True,True,True,True,True
A60121,True,True,True,True,True,True
A60138,True,True,True,True,True,True
A60145,True,True,True,True,True,True
A60152,True,True,True,True,True,True
A60158,True,True,True,True,True,True
A60166,True,True,True,True,True,True
A60185,True,True,True,True,True,True
A60203,True,True,True,True,True,True
A60218,True,True,True,True,True,True
A60224,True,True,True,True,True,True
A60247,True,True,True,True,True,True
A60269,True,True,True,True,True,True
A60334,True,True,True,True,True,True
A60338,True,True,True,True,True,True
A60349,True,True,True,True,True,True
A60369,True,True,True,True,True,True
A60441,True,True,True,True,True,True
A60451,True,True,True,True,True,True
A60478,True,True,True,True,True,True
A60491,True,True,True,True,True,False
A60514,True,True,True,True,True,True
A60656,True,True,True,True,True,True
A60700,True,True,True,True,True,True
A60767,True,True,True,True,True,True
A60810,True,True,True,True,True,True
A60835,True,True,True,True,True,True
A60862,True,True,True,True,True,False
A60879,True,True,True,True,True,True
A60881,True,True,True,True,True,True
A60925,True,True,True,True,True,True
A60952,True,True,True,True,True,True
A60972,True,True,True,True,True,True
A61010,True,True,True,True,True,True
A61038,True,True,True,True,True,True
A61070,True,True,True,True,True,True
A61104,True,True,True,True,True,True
A61136,True,True,True,True,True,True
A61175,True,True,True,True,True,True
A61187,True,True,True,True,True,True
A61191,True,True,True,True,True,True
A61248,True,True,True,True,True,True
A61254,True,True,True,True,True,True
A61270,True,True,True,True,True,True
A61441,True,True,True,True,True,True
A61492,True,True,True,True,True,True
A61541,True,True,True,True,True,True
A61543,True,True,True,True,True,True
A61589,True,True,True,True,True,True
A61629,True,True,True,True,True,True
A61667,True,True,True,True,True,True
A61683,True,True,True,True,True,True
A61697,True,True,True,True,True,True
A61719,True,True,True,True,True,True
A61721,True,True,True,True,True,True
A62093,True,True,True,True,True,True
A62143,True,True,True,True,True,True
A62145,True,True,True,True,True,True
A62152,True,True,True,True,True,True
A62177,True,True,True,True,True,True
A62183,True,True,True,True,True,True
A62222,True,True,True,True,True,True
A62260,True,True,True,True,True,True
A62278,True,True,True,True,True,False
A62372,True,True,True,True,True,True
A62475,True,True,True,True,True,True
A62508,True,True,True,True,True,True
A62511,True,True,True,True,True,True
A62585,True,True,True,True,True,True
A62613,True,True,True,True,True,True
A62670,True,True,True,True,True,False
A62674,True,True,True,True,True,True
A62676,True,True,True,True,True,True
A62696,True,True,True,True,True,False
A62709,True,True,True,True,True,True
A62788,True,True,True,True,True,True
A62835,True,True,True,True,True,True
A62838,True,True,True,True,True,True
A62907,True,True,True,True,True,True
A62937,True,True,True,True,True,True
A63018,True,True,True,True,True,True
A63055,True,True,True,True,True,True
A63057,True,True,True,True,True,True
A63073,True,True,True,True,True,False
A63074,True,True,True,True,True,True
A63079,True,True,True,True,True,True
A63110,True,True,True,True,True,True
A63227,True,True,True,True,True,True
A63302,True,True,True,True,True,True
A63323,True,True,True,True,True,True
A63335,True,True,True,True,True,True
A63412,True,True,True,True,True,True
A63416,True,True,True,True,True,True
A63435,True,True,True,True,True,True
A63465,True,True,True,True,True,True
A63522,True,True,True,True,True,True
A63557,True,True,True,True,True,True
A63589,True,True,True,True,True,True
A63633,True,True,True,True,True,True
A63684,True,True,True,True,True,True
A63742,True,True,True,True,True,True
A63871,True,True,True,True,True,True
A63882,True,True,True,True,True,True
A63900,True,True,True,True,True,True
A63927,True,True,True,True,True,True
A64002,True,True,True,True,True,True
A64004,True,True,True,True,True,False
